Режиссер,Фильм,Год,Описание,Страна,Рейтинг
Вим Вендерс,"Париж, Техас",1984,"Идущий ниоткуда Трэвис знает, что у него есть семья, но не знает, что с момента его исчезновения прошло четыре года. Неистовые поиски себя в глухой американской глубинке сопровождается гипнотической музыкой Рая Кудера. Его звезда по-настоящему взошла именно над городком Парижем в штате Техас.","Германия, Франция, Великобритания, США",8.1
Пон Джун-хо,Паразиты,2019,"Обычное корейское семейство Кимов жизнь не балует. Приходится жить в сыром грязном полуподвале, воровать интернет у соседей и перебиваться случайными подработками. Однажды друг сына семейства, уезжая на стажировку за границу, предлагает тому заменить его и поработать репетитором у старшеклассницы в богатой семье Пак. Подделав диплом о высшем образовании, парень отправляется в шикарный дизайнерский особняк и производит на хозяйку дома хорошее впечатление. Тут же ему в голову приходит необычный план по трудоустройству сестры.",Корея Южная,8.6
Гильермо дель Торо,Форма воды,2017,"1960-е годы. Немая девушка Элайза работает уборщицей в научной лаборатории. В стенах секретного учреждения идёт работа по изучению отловленного человека-амфибии, и методы у сотрудников самые жестокие. Элайза влюбляется в пленённое существо и помогает ему сбежать.","США, Канада, Мексика",7.3
Жан-Пьер Жёне,Амели,2001,"Знаете ли вы, что все события, происходящие в нашем мире, даже самые незначительные, взаимосвязаны самым удивительным и чудесным образом?
Как полет крошечной мухи может вызвать где-то далеко мощный ураган, так и странные и, на первый взгляд, непонятные поступки тихой и одинокой девушки, живущей в мире своих фантазий, могут навсегда изменить жизнь совершенно разных людей, подарив им счастье и раскрасив окружающий мир яркими красками. Эту девушку зовут Амели Пулен.","Франция, Германия",8.3
Сэм Мендес,Красота по-американски ,1999,"Лестер Бернэм переживает кризис среднего возраста. Его не уважают и не ценят на работе, а от счастливой семьи осталась лишь видимость. У жены Кэролайн страстный роман с коллегой по работе, а угрюмая дочь-подросток Джейн увлечена соседским парнем, побывавшим в психиатрической больнице.
Терзаемый душевными муками Лестер впадает в депрессию. Но неожиданно для себя влюбляется в одноклассницу дочери Анджелу, и эта страсть дает Лестеру мощный жизненный импульс. Он ощущает прилив сил и желаний и готов снова радоваться красоте.",США,8.3
Ричард Келли,Донни Дарко,2001,"Донни Дарко — обычный старшеклассник, живет с родителями и двумя сестрами. Однажды он встречает человека в костюме кролика, который сообщает парню, что через 28 дней, 6 часов, 42 минуты и 12 секунд наступит конец света.",США,8.0
Джон Мэйбери,Пиджак,2004,"Ветеран войны в Персидском заливе Джек Старкс поправляется после ранения в голову. Он возвращается в родной штат Вермонт, но ранение дает о себе знать приступами амнезии. Когда Старкса обвиняют в убийстве полицейского, его направляют на психиатрическую экспертизу.
Доктор Беккер использует экспериментальные методы лечения, вводя Старксу новейшие препараты. После инъекций Старксу надевают смирительную рубашку и помещают в подвал. В наркотическом опьянении мысли Старкса устремляются в будущее, где он встречает Джеки и узнает, что ему осталось жить четыре дня. Вместе с Джеки он ищет возможность убежать от судьбы.","США, Германия",7.1
Вим Вендерс,Соль Земли,2014,"Себастьян Сальгадо – величайший фотограф современности. Ни одно событие не укрылось от его объектива. Взгляните на мир другими глазами! Откройте для себя завораживающую историю жизни, проникающую прямо в сердце.","Франция, Бразилия, Италия",8.5
Натали Джонс,Сон Макса Рихтера,2019,"Погружение в мир композитора Макса Рихтера. Через его воспоминания, домашние видео и разговоры с близкими становится отчетливой и неоспоримой связь антропологии и кино, электронной и академической музыки, полузабытого прошлого и настоящего, из которого так легко вернуться в детство, услышав в полудреме звуки колыбельной.",Великобритания,7.3
Пабло Ларраин,Спенсер,2021,"Брак принцессы Дианы и принца Чарльза трещит по швам. Злые языки судачат о романе на стороне и прогнозируют развод. Тем не менее, на рождественские праздники в поместье Сандрингем королевская семья изображает мир. Они едят и пьют за одним столом, традиционно выезжают на охоту, но сможет ли Диана продолжать эту игру?","Великобритания, Германия, США, Чили",6.9
